,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
53,248,Kyle Lowry,35.1,5.15,12.2,0.42,2.4,7.15,0.33199999999999996,3.55,4.1,0.8634999999999999,3.05,3.05,0.55,4.3,4.8,7.55,1.2,0.35,16.2,2020.0,1
54,250,LaMarcus Aldridge,28.35,6.7,12.75,0.5315,0.8,2.15,0.367,2.2,2.7,0.8160000000000001,1.0499999999999998,2.05,1.65,4.95,6.6,1.65,0.5,1.35,16.4,2020.0,1
55,251,LaMelo Ball,31.049999999999997,6.45,15.25,0.427,2.35,6.3,0.3715,2.55,3.05,0.829,3.0,2.9000000000000004,1.35,5.45,6.800000000000001,7.1499999999999995,1.75,0.4,17.85,2020.5,1
56,255,Lauri Markkanen,27.8,4.95,11.0,0.4525,2.25,6.05,0.373,2.0,2.45,0.825,1.3,1.7,0.95,4.85,5.8,1.2,0.65,0.4,14.149999999999999,2019.5,1
57,258,Lonzo Ball,33.0,4.766666666666667,11.533333333333333,0.41,2.7999999999999994,7.2,0.393,0.6333333333333333,0.9333333333333332,0.6913333333333332,2.533333333333333,2.1333333333333333,0.9,4.6000000000000005,5.5,5.866666666666667,1.5333333333333332,0.7333333333333334,12.933333333333332,2020.0,1
58,260,Luguentz Dort,31.15,5.35,12.95,0.41000000000000003,2.35,6.8,0.339,2.65,3.35,0.8015,1.55,2.7,0.7,3.0999999999999996,3.8,1.7999999999999998,0.9,0.4,15.65,2020.5,1
59,269,Marcus Morris,28.75,5.25,11.649999999999999,0.4555,2.4,5.4,0.4405,2.1,2.55,0.8214999999999999,1.3,2.5,0.8,3.8,4.55,1.2,0.7,0.4,15.05,2019.5,1
60,270,Marcus Smart,33.1,4.133333333333333,10.6,0.38966666666666666,1.8666666666666665,5.766666666666666,0.325,2.266666666666667,2.8000000000000003,0.7986666666666666,1.9000000000000001,2.5333333333333337,0.6666666666666666,2.966666666666667,3.6999999999999997,5.333333333333333,1.7666666666666666,0.43333333333333335,12.366666666666667,2020.0,1
61,286,Mikal Bridges,31.76666666666667,4.466666666666667,8.366666666666667,0.5303333333333333,1.3666666666666665,3.4,0.397,1.3,1.5333333333333334,0.8453333333333334,0.8666666666666667,2.0,0.9333333333333335,3.1666666666666665,4.1000000000000005,1.9333333333333333,1.3333333333333333,0.6666666666666666,11.566666666666668,2020.0,1
62,287,Mike Conley,28.96666666666667,5.2,11.533333333333333,0.4543333333333333,2.466666666666667,5.900000000000001,0.4206666666666667,2.033333333333333,2.466666666666667,0.8423333333333334,1.9000000000000001,2.033333333333333,0.5666666666666667,2.3333333333333335,2.9,5.266666666666667,1.133333333333333,0.19999999999999998,14.933333333333332,2020.0,1
